run=dads_full_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '63.7', 'episodes': 5}
{'step': 2000, 'sps': '64.7', 'episodes': 10}
{'step': 3000, 'sps': '64.8', 'episodes': 15}
{'step': 4000, 'sps': '64.8', 'episodes': 20}
{'step': 102000, 'sps': '29.7', 'episodes': 510, 'phi/obj': '-0.0002961', 'sac/actor_loss': '-74.62', 'sac/alpha': '0.04538', 'sac/q_loss': '9.977', 'sac/reward_mean': '0.4399'}
{'step': 103000, 'sps': '29.7', 'episodes': 515, 'phi/obj': '-0.0002932', 'sac/actor_loss': '-74.03', 'sac/alpha': '0.04648', 'sac/q_loss': '10.01', 'sac/reward_mean': '0.4454'}
{'step': 104000, 'sps': '29.7', 'episodes': 520, 'phi/obj': '-0.0002936', 'sac/actor_loss': '-73.33', 'sac/alpha': '0.0444', 'sac/q_loss': '10.16', 'sac/reward_mean': '0.4403'}
{'step': 105000, 'sps': '29.7', 'episodes': 525, 'phi/obj': '-0.0002902', 'sac/actor_loss': '-72.87', 'sac/alpha': '0.0446', 'sac/q_loss': '10.2', 'sac/reward_mean': '0.4512'}
{'step': 106000, 'sps': '29.6', 'episodes': 530, 'phi/obj': '-0.0002858', 'sac/actor_loss': '-72.15', 'sac/alpha': '0.04467', 'sac/q_loss': '9.637', 'sac/reward_mean': '0.4453'}
{'step': 107000, 'sps': '29.6', 'episodes': 535, 'phi/obj': '-0.0002837', 'sac/actor_loss': '-71.6', 'sac/alpha': '0.04433', 'sac/q_loss': '9.467', 'sac/reward_mean': '0.4454'}
{'step': 108000, 'sps': '29.6', 'episodes': 540, 'phi/obj': '-0.000291', 'sac/actor_loss': '-71.07', 'sac/alpha': '0.04418', 'sac/q_loss': '10.42', 'sac/reward_mean': '0.4357'}
{'step': 109000, 'sps': '29.6', 'episodes': 545, 'phi/obj': '-0.0002851', 'sac/actor_loss': '-70.78', 'sac/alpha': '0.04413', 'sac/q_loss': '9.536', 'sac/reward_mean': '0.4411'}
{'step': 110000, 'sps': '29.6', 'episodes': 550, 'phi/obj': '-0.0002897', 'sac/actor_loss': '-70.41', 'sac/alpha': '0.04468', 'sac/q_loss': '10.55', 'sac/reward_mean': '0.4406'}
{'step': 111000, 'sps': '29.6', 'episodes': 555, 'phi/obj': '-0.0002855', 'sac/actor_loss': '-70.17', 'sac/alpha': '0.04521', 'sac/q_loss': '9.483', 'sac/reward_mean': '0.4393'}
