run=mi_soil_s1 metric=w2 skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '69.7', 'episodes': 5}
{'step': 2000, 'sps': '69.3', 'episodes': 10}
{'step': 3000, 'sps': '67.3', 'episodes': 15}
{'step': 4000, 'sps': '66.3', 'episodes': 20}
{'step': 105000, 'sps': '31.1', 'episodes': 525, 'phi/obj': '0.9731', 'sac/actor_loss': '-96.47', 'sac/alpha': '0.002728', 'sac/q_loss': '0.06831', 'sac/reward_mean': '0.9746'}
{'step': 106000, 'sps': '31.1', 'episodes': 530, 'phi/obj': '0.9751', 'sac/actor_loss': '-96.47', 'sac/alpha': '0.002765', 'sac/q_loss': '0.08678', 'sac/reward_mean': '0.9766'}
{'step': 107000, 'sps': '31.1', 'episodes': 535, 'phi/obj': '0.9785', 'sac/actor_loss': '-96.49', 'sac/alpha': '0.002716', 'sac/q_loss': '0.09558', 'sac/reward_mean': '0.9799'}
{'step': 108000, 'sps': '31.1', 'episodes': 540, 'phi/obj': '0.9779', 'sac/actor_loss': '-96.53', 'sac/alpha': '0.00271', 'sac/q_loss': '0.08117', 'sac/reward_mean': '0.9792'}
{'step': 109000, 'sps': '31.1', 'episodes': 545, 'phi/obj': '0.9759', 'sac/actor_loss': '-96.55', 'sac/alpha': '0.002519', 'sac/q_loss': '0.06841', 'sac/reward_mean': '0.9774'}
{'step': 110000, 'sps': '31.1', 'episodes': 550, 'phi/obj': '0.9785', 'sac/actor_loss': '-96.59', 'sac/alpha': '0.002642', 'sac/q_loss': '0.06751', 'sac/reward_mean': '0.9798'}
{'step': 111000, 'sps': '31.1', 'episodes': 555, 'phi/obj': '0.9751', 'sac/actor_loss': '-96.61', 'sac/alpha': '0.002633', 'sac/q_loss': '0.07221', 'sac/reward_mean': '0.9766'}
{'step': 112000, 'sps': '31.1', 'episodes': 560, 'phi/obj': '0.9722', 'sac/actor_loss': '-96.59', 'sac/alpha': '0.002688', 'sac/q_loss': '0.08162', 'sac/reward_mean': '0.9738'}
{'step': 113000, 'sps': '31.1', 'episodes': 565, 'phi/obj': '0.9757', 'sac/actor_loss': '-96.56', 'sac/alpha': '0.002475', 'sac/q_loss': '0.08801', 'sac/reward_mean': '0.9771'}
{'step': 114000, 'sps': '31.1', 'episodes': 570, 'phi/obj': '0.9729', 'sac/actor_loss': '-96.53', 'sac/alpha': '0.002514', 'sac/q_loss': '0.09941', 'sac/reward_mean': '0.9746'}
{'step': 115000, 'sps': '31.1', 'episodes': 575, 'phi/obj': '0.9752', 'sac/actor_loss': '-96.52', 'sac/alpha': '0.002472', 'sac/q_loss': '0.07424', 'sac/reward_mean': '0.9768'}
