run=abl_temporal_rt_d4_s2 metric=temporal skill_dim=4 device=cuda sim_backend=auto
{'step': 1000, 'sps': '76.6', 'episodes': 5}
{'step': 2000, 'sps': '77.4', 'episodes': 10}
{'step': 3000, 'sps': '77.7', 'episodes': 15}
{'step': 4000, 'sps': '77.6', 'episodes': 20}
{'step': 67000, 'sps': '36.2', 'episodes': 335, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5828', 'phi/lambda': '0.09665', 'phi/obj': '0.07333', 'phi/violation_rate': '0.1152', 'sac/actor_loss': '-8278', 'sac/alpha': '2.371', 'sac/q_loss': '1.695e+04', 'sac/reward_mean': '7.356'}
{'step': 68000, 'sps': '36.2', 'episodes': 340, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5822', 'phi/lambda': '0.09388', 'phi/obj': '0.07359', 'phi/violation_rate': '0.1139', 'sac/actor_loss': '-7980', 'sac/alpha': '2.103', 'sac/q_loss': '1.566e+04', 'sac/reward_mean': '7.382'}
{'step': 69000, 'sps': '36.2', 'episodes': 345, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5773', 'phi/lambda': '0.1018', 'phi/obj': '0.07513', 'phi/violation_rate': '0.1147', 'sac/actor_loss': '-7736', 'sac/alpha': '1.904', 'sac/q_loss': '1.358e+04', 'sac/reward_mean': '7.535'}
{'step': 70000, 'sps': '36.1', 'episodes': 350, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5831', 'phi/lambda': '0.09525', 'phi/obj': '0.07407', 'phi/violation_rate': '0.1141', 'sac/actor_loss': '-7512', 'sac/alpha': '1.701', 'sac/q_loss': '1.225e+04', 'sac/reward_mean': '7.43'}
{'step': 71000, 'sps': '36.1', 'episodes': 355, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5828', 'phi/lambda': '0.1025', 'phi/obj': '0.07589', 'phi/violation_rate': '0.1141', 'sac/actor_loss': '-7281', 'sac/alpha': '1.648', 'sac/q_loss': '1.038e+04', 'sac/reward_mean': '7.612'}
{'step': 72000, 'sps': '36.1', 'episodes': 360, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5771', 'phi/lambda': '0.09861', 'phi/obj': '0.07638', 'phi/violation_rate': '0.1153', 'sac/actor_loss': '-7043', 'sac/alpha': '1.638', 'sac/q_loss': '9394', 'sac/reward_mean': '7.663'}
{'step': 73000, 'sps': '36.1', 'episodes': 365, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5844', 'phi/lambda': '0.1052', 'phi/obj': '0.07819', 'phi/violation_rate': '0.1147', 'sac/actor_loss': '-6800', 'sac/alpha': '1.701', 'sac/q_loss': '8407', 'sac/reward_mean': '7.843'}
{'step': 74000, 'sps': '36.1', 'episodes': 370, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5809', 'phi/lambda': '0.1033', 'phi/obj': '0.07895', 'phi/violation_rate': '0.1162', 'sac/actor_loss': '-6546', 'sac/alpha': '1.762', 'sac/q_loss': '7529', 'sac/reward_mean': '7.919'}
{'step': 75000, 'sps': '36.1', 'episodes': 375, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.584', 'phi/lambda': '0.1038', 'phi/obj': '0.07883', 'phi/violation_rate': '0.1143', 'sac/actor_loss': '-6300', 'sac/alpha': '1.742', 'sac/q_loss': '6989', 'sac/reward_mean': '7.908'}
{'step': 76000, 'sps': '36', 'episodes': 380, 'metric/d_mean': '1', 'metric/d_nonzero': '1', 'phi/constraint': '0.5826', 'phi/lambda': '0.1049', 'phi/obj': '0.07866', 'phi/violation_rate': '0.1144', 'sac/actor_loss': '-6053', 'sac/alpha': '1.621', 'sac/q_loss': '6554', 'sac/reward_mean': '7.89'}
